config,surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
Surrogate_Paranoia_V1,2024-06-01_19-29-44_forestgreen-history,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.5925768546653625,400,33,0.0825,0.9455215590692536,0.928081225706792,0.3158110289757166,0.5266259649567253,-0.0174403333624616,0.2108149359810086
Surrogate_Paranoia_V1,2024-06-03_03-24-49_azure-tax,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.5715920388468112,400,38,0.095,0.940086504911707,0.906798940451246,0.319948100929027,0.5023019164046799,-0.0332875644604609,0.1823538154756528
Surrogate_Paranoia_V1,2024-06-02_19-01-47_mintcream-hotel,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.6090802807178817,400,28,0.07,0.9485328763297102,0.9269235133259892,0.3280197491492392,0.5182416927239779,-0.0216093630037208,0.1902219435747386
Surrogate_Paranoia_V1,2024-06-01_11-41-52_royalblue-stay,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.620521674683311,400,22,0.055,0.9628032135029932,0.9334244877367958,0.327213581032739,0.5209450991915284,-0.0293787257661973,0.1937315181587894
Surrogate_Paranoia_V1,2024-06-02_03-06-38_navajowhite-fund,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.5523714811365984,400,31,0.0775,0.9424055179164106,0.916064203327012,0.3143355503367581,0.5268991878776115,-0.0263413145893987,0.2125636375408534
Surrogate_Paranoia_V1,2024-06-02_10-45-26_plum-early,"surrogate with PL 1, 100% data/test overlap",0.7638798180985682,0.5838547861647735,400,27,0.0675,0.950846565120928,0.9233317452078548,0.3201276904190458,0.518540325356749,-0.0275148199130732,0.1984126349377031
Surrogate_Paranoia_V2,2024-06-03_21-29-45_lightslategray-feel,"surrogate with PL 2, 100% data/test overlap",0.7638798180985682,0.707024383640096,400,220,0.55,0.6995497984687057,0.7598318856437541,0.3953009785272634,0.5377836822485894,0.0602820871750484,0.142482703721326
Surrogate_Paranoia_V2,2024-06-04_10-20-22_springgreen-pattern,"surrogate with PL 2, 100% data/test overlap",0.7638798180985682,0.70414881993007,400,232,0.58,0.6791747355713292,0.7242847269106321,0.3971580909890467,0.5385087362844594,0.0451099913393028,0.1413506452954127
Surrogate_Paranoia_V2,2024-06-03_11-16-37_steelblue-wrong,"surrogate with PL 2, 100% data/test overlap",0.7638798180985682,0.6692694805194805,400,217,0.5425,0.6912810124712658,0.7448790293656671,0.409283531448436,0.5460020176844056,0.0535980168944012,0.1367184862359696
Surrogate_Paranoia_V2,2024-06-04_08-05-08_green-might,"surrogate with PL 2, 100% data/test overlap",0.7638798180985682,0.6707886904761905,400,219,0.5475,0.6558372609598239,0.720883748897147,0.3869935676005924,0.4976716786212054,0.0650464879373231,0.1106781110206129
Surrogate_Paranoia_V2,2024-06-03_23-40-39_aquamarine-less,"surrogate with PL 2, 100% data/test overlap",0.7638798180985682,0.7072982919857922,400,211,0.5275,0.6718532926410465,0.7241904742526859,0.4093001825310688,0.5329572327619372,0.0523371816116393,0.1236570502308683
