surrogate_workspace,description,target_threshold,surrogate_threshold,total_samples_count,samples_evaded_count,samples_evaded_percentage,target_confidence_mean,target_confidence_original_mean,surrogate_confidence_mean,surrogate_confidence_original_mean,target_confidence_reduction_mean,surrogate_confidence_reduction_mean
2024-04-08 10-49-51 paleturquoise-nor,surrogate model with SVM and 100% overlap,0.8,0.9403843048292916,808,394,0.4876237623762376,0.6829140418865514,0.7883722313828951,0.5779688986318993,0.7294845146706014,0.1054581894963437,0.1515156160387021
2024-04-08 21-57-36 greenyellow-fear,"surrogate model with 0% train, test overlap",0.8,0.7808011061297655,549,466,0.848816029143898,0.535774497954703,0.6684999692873291,0.5031087305794419,0.6696391777128307,0.1327254713326261,0.1665304471333887
2024-04-09 14-07-59 maroon-scene,"surrogate model with 25% train, test overlap",0.8,0.7782573675095773,468,408,0.8717948717948718,0.5098061825883559,0.6499469453633812,0.4843292534723943,0.6452558962313364,0.1401407627750253,0.160926642758942
2024-04-09 22-01-28 midnightblue-address,"surrogate model with 50% train, test overlap",0.8,0.7421279761904762,486,450,0.925925925925926,0.4907953236918035,0.6212778747836808,0.4624903876316953,0.6094147060700458,0.1304825510918772,0.1469243184383504
2024-04-10 05-47-55 powderblue-science,"surrogate model with 75% train, test overlap",0.8,0.6807938790948656,417,386,0.9256594724220624,0.4676413804818604,0.6430060807654335,0.4247248611897796,0.6248671551034422,0.1753647002835731,0.2001422939136625
2024-04-10 13-36-12 darkcyan-why,"surrogate model with 100% train, test overlap",0.8,0.7569284772505127,525,510,0.9714285714285714,0.5000706396415672,0.6472516298565196,0.492662266489001,0.6467409324215017,0.14718099021495246,0.15407866593250064
